Categoria,SerialNumber,Archivo,Estatus_Tester,Consumo_mA,Offset_High_V,V_20A_High_V,Tiempo_ms_High,Offset_Low_V,V_20A_Low_V,Tiempo_ms_Low,Delta_V_High,Delta_V_Low,S_High_mVA,S_Low_mVA,Ratio_HL,Ratio_Dev_Pct,Proy_220A_High_mV,Proy_220A_Low_mV,Status,Razon_Falla,Ford_220A
CORRECTION_FACTOR,26168000568,7370-2573-8W 26168000568 0101 OK.txt,OK,21.166,2.505,2.619,19.0,2.504,2.904,19.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6903.999999999998,PASS,,PASS
CORRECTION_FACTOR,26168000570,7370-2573-8W 26168000570 0101 OK.txt,OK,20.672,2.504,2.618,19.0,2.504,2.903,64.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6893.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26168000581,7370-2573-8W 26168000581 0101 OK.txt,OK,20.826,2.504,2.618,53.0,2.505,2.904,20.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26168000586,7370-2573-8W 26168000586 0101 OK.txt,OK,21.586,2.505,2.619,20.0,2.506,2.905,19.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6895.0,PASS,,PASS
CORRECTION_FACTOR,26169000001,7370-2573-8W 26169000001 0101 OK.txt,OK,21.362,2.505,2.619,19.0,2.505,2.904,19.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6894.0,PASS,,PASS
CORRECTION_FACTOR,26169000002,7370-2573-8W 26169000002 0101 OK.txt,OK,21.072,2.505,2.619,19.0,2.505,2.905,19.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6904.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000003,7370-2573-8W 26169000003 0101 OK.txt,OK,21.355,2.504,2.618,51.0,2.506,2.906,20.0,0.11399999999999988,0.40000000000000036,5.699999999999994,20.000000000000018,0.2849999999999994,-1.2131715771232439,3757.9999999999986,6906.000000000004,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000004,7370-2573-8W 26169000004 0101 OK.txt,OK,21.33,2.504,2.618,66.0,2.504,2.904,19.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6903.999999999998,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000005,7370-2573-8W 26169000005 0101 OK.txt,OK,20.81,2.504,2.618,20.0,2.504,2.904,20.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6903.999999999998,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000006,7370-2573-8W 26169000006 0101 OK.txt,OK,21.436,2.504,2.618,19.0,2.505,2.905,59.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6904.999999999998,FAIL,S_High=5.700 < 5.7,PASS
